#Name	NumConnected
RRP36	8514
WNT3	8514
WNT2	8514
WNT1	8514
AGXT	8514
WNT6	8514
WNT4	8514
PPP1R15A	8514
GLYCAM1	8514
GPAA1	8514
TREML4	0
MOGS	0
RECK	0
TYRP1	0
INSR	8514
HIST2H2BF	8514
HIST2H2BE	8514
SPTBN5	8514
SPTBN4	8514
SPTBN2	8514
SPTBN1	8514
EBAG9	8514
KLF15	8514
TFAP2A	8514
TFAP2C	8514
TFAP2B	8514
TFAP2E	8514
TFAP2D	8514
UBE2Z	8514
GBE1	7
OR51T1	8514
PCNA	8514
SLC44A1	8514
SLC44A2	8514
SLC44A3	8514
SLC44A4	8514
SLC44A5	8514
MSI1	8514
PCNT	8514
UTY	8515
ENGASE	0
SAMHD1	8514
RPA4	8514
DNPH1	8514
RPA1	8514
RPA3	8514
RPA2	8514
NDUFS1	8514
NDUFS2	8514
NDUFS3	8514
COQ9	8514
NDUFS5	8514
NDUFS6	8514
NDUFS7	8514
C1S	8514
C1R	8514
COQ7	8514
COQ6	8514
COQ3	8514
COQ2	8514
ZRANB1	8514
HBB	8514
CHMP2B	8514
KLK8	0
MUC20	8514
CHMP2A	8514
ATP9B	0
ATP9A	0
BOC	8514
FLAD1	8517
DENND2C	8515
TPX2	8514
DENND2A	8515
DENND2D	8515
OR52J3	8514
PPT2	0
INPP4B	8514
INPP4A	8514
MICAL1	8515
TP53AIP1	8514
PHC1	8514
PHC3	8514
PHC2	8514
PIANP	8514
AP1G1	8514
MGMT	0
H2AFV	8514
AP1G2	8514
H2AFX	8514
H2AFZ	8514
RNF8	8514
RNF6	8514
RNF7	8514
RNF4	8514
RNF5	8514
RNF2	8514
AVPR2	8514
H2AFJ	8514
OR5AK3P	8514
NCAPG2	8514
GSTA4	0
HDAC7	8514
CLTA	8514
CLTC	8514
CLTB	8514
NGLY1	8514
DPEP1	8514
DPEP2	8514
DPEP3	8514
HARS	8515
RRAGB	8514
PCOLCE	8521
IGHM	8514
EPM2A	6
ISCA1	2
HSD3B2	8514
ISCA2	2
OR6V1	8514
CD300C	0
SIK1	8515
CD300A	0
IL23R	8514
ACTR8	8514
BAIAP2	8514
ACTR5	8514
ACTR3	8514
ACTR2	8514
CLUAP1	8514
KRT84	54
MCOLN2	8514
GNRHR	8514
IL10RA	8514
CNR1	8514
CNR2	8514
IL10RB	8514
POLDIP3	8514
GP1BA	8514
GP1BB	8514
ALDH18A1	8514
ICOS	8514
HHEX	8514
OTULIN	8514
PTPRU	8514
TGS1	8514
COPS4	8514
KHDRBS2	0
IDUA	2
